bps_desa_kelurahan,rendah_pct,menengah_pct,tinggi_pct
ANCOL,0.2929556127859415,0.4171085189112761,0.2899358683027824
ANTAPANI KIDUL,0.2909989889616775,0.37136268576097947,0.33763832527734305
ANTAPANI KULON,0.3521954137161289,0.41021286594678885,0.23759172033708226
ANTAPANI TENGAH,0.32771021800385586,0.37388897127885706,0.2984008107172871
ANTAPANI WETAN,0.3531175851262044,0.4165528376424653,0.23032957723133024
ARJUNA,0.2992169093724056,0.5018960217201068,0.1988870689074876
BABAKAN,0.5023872000244449,0.42043366830524076,0.0771791316703143
BABAKAN ASIH,0.41350940833794964,0.4946552063043906,0.0918353853576598
BABAKAN CIAMIS,0.3349962967621124,0.494137704551489,0.17086599868639862
BABAKAN CIPARAY,0.4776239181469116,0.4502025691089605,0.07217351274412796
BABAKAN PENGHULU,0.4191581210983262,0.4323335419575369,0.14850833694413687
BABAKAN SARI,0.38539641358260207,0.49420373903090425,0.1203998473864937
BABAKAN SURABAYA,0.4168163996349003,0.4879189892020046,0.09526461116309508
BABAKAN TAROGONG,0.4487417933121452,0.4889958887967175,0.06226231789113729
BALONG GEDE,0.2873759228074663,0.5314376256758965,0.18118645151663718
BATUNUNGGAL,0.3381555812661134,0.4431730877266502,0.2186713310072364
BINONG,0.3824735942089476,0.5226867094226079,0.0948396963684445
BRAGA,0.3022540394456903,0.539474440802714,0.15827151975159565
BURANGRANG,0.33088391029110675,0.4593815451956793,0.20973454451321394
CAMPAKA,0.38781315340508227,0.5016964480418692,0.11049039855304847
CARINGIN,0.40926984838858366,0.4371504030098043,0.15357974860161203
CIATEUL,0.2655713775486436,0.49750764787179524,0.23692097457956116
CIBADAK,0.35320218511883017,0.5151624532845013,0.1316353615966686
CIBADUYUT,0.5101938972716468,0.42979049658388757,0.060015606144465716
CIBADUYUT KIDUL,0.5488862009878036,0.3723036992238686,0.07881009978832779
CIBADUYUT WETAN,0.4597539862053559,0.36435033928122645,0.17589567451341767
CIBANGKONG,0.3594013066466463,0.5363960193600945,0.10420267399325911
CIBUNTU,0.4186320642314059,0.4877024309185129,0.09366550485008118
CICADAS,0.3472745623398029,0.5184975421322819,0.13422789552791514
CICAHEUM,0.38925471466151107,0.4898902971777711,0.12085498816071784
CIGADUNG,0.3650739579324555,0.44878553580602454,0.18614050626151996
CIGENDING,0.37115774187452133,0.47384562336504066,0.15499663476043804
CIGERELENG,0.27389074758572324,0.44954003340784354,0.2765692190064332
CIGONDEWAH KALER,0.5922640669307023,0.36535351878324857,0.042382414286049074
CIGONDEWAH KIDUL,0.5459899258960019,0.33701538888818755,0.11699468521581054
CIGONDEWAH RAHAYU,0.5707782524358931,0.34096336910087793,0.08825837846322894
CIHAPIT,0.21526396705172146,0.29502531770546836,0.4897107152428102
CIHAURGEULIS,0.2968619227620966,0.49872159221550827,0.20441648502239512
CIJAGRA,0.30865518663237057,0.3488238528147028,0.34252096055292663
CIJAURA,0.39013289527652334,0.428523244701782,0.18134386002169464
CIJERAH,0.4147384494209912,0.4778217769155128,0.107439773663496
CIKAWAO,0.3436307861721792,0.4994559588888452,0.15691325493897562
CIKUTRA,0.35948983671084594,0.49144090121672457,0.14906926207242946
CIMINCRANG,0.44775694695253415,0.3812041019579516,0.17103895108951417
CIPADUNG,0.39468049108722664,0.4645025972449314,0.14081691166784194
